Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,front_end,style
"bird,horse,goat,cat,dog",4,bird's cage is exactly 4 spots ahead of dog's,goat is ahead of cat,cat is ahead of dog,cat is not next to horse,"front, end","['horizontal stripes', 'horizontal lines', 'diagonal stripes', 'blank', 'dotted circles']"
"Mia,Bob,Brown,May,David",4,David is taller than May,Bob is taller than Mia,Brown is taller than Bob,There are 3 people shorter than May,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"Jacob,Linda,Paul,Jennifer,Thomas",4,Jennifer is younger than Thomas,There are 3 people younger than Jennifer,Linda is not the youngest,Linda is younger than Paul,"young, old","['diagonal stripes', 'dotted circles', 'blank', 'horizontal lines', 'horizontal stripes']"
"black book,white book,yellow book,red book,orange book",4,white book is behind black book,white book's cage is exactly 2 spots ahead of red book's,red book is ahead of orange book,yellow book is not next to orange book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"A,C,D,B,E",4,B is ahead of E,A is at position 1,C is not next to B,C is ahead of B,"front, end","['horizontal lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes']"
"May,Brown,Mia,Bob,David",4,Brown is taller than May,Bob is between Mia and David,Brown is at position 2,Mia is between Bob and May,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"E,B,A,D,C",4,A is behind B,C is behind D,D is behind A,B is between A and E,"front, end","['diagonal stripes', 'horizontal stripes', 'dotted circles', 'blank', 'horizontal lines']"
"bird,goat,horse,cat,dog",4,goat is ahead of horse,bird's cage is exactly 4 spots ahead of dog's,goat is not next to cat,There are 0 animals behind dog,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"yellow book,white book,black book,red book,orange book",4,yellow book's cage is exactly 3 spots ahead of red book's,orange book is not next to white book,orange book is behind white book,white book's cage is exactly 2 spots ahead of red book's,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"horse,bird,dog,goat,cat",4,horse's cage is exactly 2 spots ahead of dog's,horse's cage is exactly 3 spots ahead of goat's,There are 4 animals behind horse,bird is not in the last cage,"front, end","['horizontal lines', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal stripes']"
"orange book,yellow book,red book,white book,black book",4,orange book's cage is exactly 4 spots ahead of black book's,yellow book is not next to white book,There are 3 animals ahead of white book,black book is not next to orange book,"cheap, expensive","['dotted circles', 'horizontal lines', 'blank', 'diagonal stripes', 'horizontal stripes']"
"Bob,May,David,Mia,Brown",4,David is at position 3,Brown is taller than Mia,Bob is shorter than May,Mia is taller than May,"short, tall","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"Bob,Brown,May,David,Mia",4,May is between Mia and Brown,David is taller than May,Brown is not the shortest,There are 0 people taller than Mia,"short, tall","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"Thomas,Linda,Paul,Jacob,Jennifer",4,Linda is younger than Paul,Jennifer is the eldest,Jacob is elder than Paul,Linda is not the youngest,"young, old","['dotted circles', 'blank', 'diagonal stripes', 'horizontal lines', 'horizontal stripes']"
"orange book,yellow book,red book,black book,white book",4,orange book's cage is exactly 2 spots ahead of red book's,black book is not next to yellow book,black book is not next to orange book,red book's cage is exactly 2 spots ahead of white book's,"cheap, expensive","['horizontal lines', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal stripes']"
"B,D,A,E,C",4,There are 1 people behind E,C is behind E,D is behind B,B is not next to A,"front, end","['dotted circles', 'blank', 'horizontal stripes', 'horizontal lines', 'diagonal stripes']"
"red book,black book,white book,yellow book,orange book",4,white book is not next to red book,black book is at position 2,red book's cage is exactly 3 spots ahead of yellow book's,red book's cage is exactly 4 spots ahead of orange book's,"cheap, expensive","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
