Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,Statement 5,front_end,style
"D,F,A,E,B,C",5,F is not next to E,F is between D and B,F is not next to B,There are 3 people in front of E,C is not next to E,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"E,D,A,C,B,F",5,A is ahead of C,B is ahead of F,D is ahead of A,There are 5 people behind E,C is ahead of B,"front, end","['horizontal stripes', 'horizontal lines', 'dotted circles', 'blank', 'diagonal stripes', 'vertical lines']"
"F,D,A,E,C,B",5,C is behind F,C is between B and E,E is ahead of C,D is between A and F,There are 2 people in front of A,"front, end","['diagonal stripes', 'horizontal lines', 'horizontal stripes', 'dotted circles', 'blank', 'vertical lines']"
"A,C,B,E,D,F",5,C is behind A,There are 2 people in front of B,F is not next to C,E is not next to F,E is between B and F,"front, end","['dotted circles', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines', 'horizontal stripes']"
"E,D,C,B,A,F",5,B is ahead of F,C is behind D,C is ahead of B,F is not next to B,D is behind E,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"Linda,Thomas,Paul,Eric,Jacob,Jennifer",5,Eric is at position 4,Jennifer is elder than Jacob,Linda is younger than Thomas,Thomas is younger than Paul,Paul is younger than Eric,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'diagonal stripes', 'blank', 'vertical lines']"
"Thomas,Paul,Eric,Jacob,Jennifer,Linda",5,Eric is younger than Jacob,Jacob is younger than Jennifer,There are 4 people elder than Paul,Jennifer is younger than Linda,Paul is younger than Eric,"young, old","['horizontal stripes', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"Eric,Jacob,Jennifer,Paul,Thomas,Linda",5,There are 4 people younger than Thomas,Paul is between Thomas and Jennifer,Linda is elder than Jacob,Jacob is elder than Eric,Jennifer is elder than Jacob,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'diagonal stripes', 'blank', 'vertical lines']"
"Eric,Thomas,Paul,Linda,Jacob,Jennifer",5,Paul is between Jacob and Eric,There are 1 people younger than Thomas,Paul is younger than Linda,Linda is younger than Jacob,Jennifer is elder than Jacob,"young, old","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']"
"Paul,Jennifer,Jacob,Thomas,Linda,Eric",5,Thomas is elder than Jacob,Linda is not the eldest,There are 2 people elder than Thomas,Jennifer is younger than Jacob,Jennifer is elder than Paul,"young, old","['horizontal lines', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal stripes', 'vertical lines']"
"Paul,Jacob,Thomas,Eric,Jennifer,Linda",5,Jacob is not the youngest,Jennifer is between Linda and Thomas,Eric is between Thomas and Jennifer,Paul is younger than Jennifer,There are 2 people younger than Thomas,"young, old","['vertical lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes', 'horizontal lines']"
"Paul,Thomas,Jacob,Linda,Jennifer,Eric",5,Linda is elder than Jacob,There are 3 people younger than Linda,Thomas is younger than Jacob,Thomas is elder than Paul,Eric is elder than Jennifer,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"Linda,Thomas,Eric,Jennifer,Jacob,Paul",5,Eric is between Thomas and Jacob,There are 3 people younger than Jennifer,Thomas is younger than Eric,Thomas is not the youngest,Jacob is younger than Paul,"young, old","['horizontal lines', 'blank', 'vertical lines', 'dotted circles', 'horizontal stripes', 'diagonal stripes']"
"Eric,Jacob,Paul,Jennifer,Linda,Thomas",5,Jennifer is elder than Paul,Jennifer is younger than Linda,Paul is elder than Jacob,Eric is younger than Jacob,Linda is between Thomas and Jennifer,"young, old","['diagonal stripes', 'horizontal stripes', 'dotted circles', 'blank', 'horizontal lines', 'vertical lines']"
"Linda,Thomas,Jennifer,Eric,Jacob,Paul",5,There are 4 people younger than Jacob,Jennifer is younger than Eric,Eric is between Jacob and Linda,Thomas is elder than Linda,Jennifer is elder than Thomas,"young, old","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'vertical lines', 'horizontal stripes']"
"Jacob,Eric,Thomas,Paul,Linda,Jennifer",5,Paul is younger than Linda,Thomas is between Eric and Jennifer,Jennifer is the eldest,Jacob is younger than Eric,Paul is elder than Thomas,"young, old","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']"
"Paul,Jacob,Jennifer,Linda,Thomas,Eric",5,Jacob is between Eric and Paul,Linda is younger than Thomas,Thomas is between Eric and Jennifer,Jennifer is elder than Jacob,There are 2 people younger than Jennifer,"young, old","['dotted circles', 'vertical lines', 'horizontal stripes', 'blank', 'horizontal lines', 'diagonal stripes']"
"Jacob,Jennifer,Paul,Thomas,Linda,Eric",5,Linda is younger than Eric,Paul is elder than Jennifer,There are 3 people elder than Paul,Jennifer is elder than Jacob,Thomas is younger than Linda,"young, old","['dotted circles', 'horizontal stripes', 'vertical lines', 'blank', 'horizontal lines', 'diagonal stripes']"
"Jennifer,Eric,Jacob,Paul,Thomas,Linda",5,Eric is younger than Jacob,Paul is elder than Jacob,Thomas is elder than Paul,Eric is elder than Jennifer,There are 1 people elder than Thomas,"young, old","['horizontal stripes', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal lines', 'vertical lines']"
"Jennifer,Linda,Paul,Thomas,Eric,Jacob",5,Eric is younger than Jacob,Linda is younger than Paul,Paul is younger than Thomas,Jennifer is at position 1,Eric is elder than Thomas,"young, old","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"Eric,Jennifer,Jacob,Paul,Linda,Thomas",5,Jacob is younger than Paul,Thomas is elder than Paul,Linda is between Thomas and Paul,Eric is younger than Jennifer,There are 2 people younger than Jacob,"young, old","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']"
"Thomas,Eric,Linda,Jacob,Jennifer,Paul",5,Jennifer is elder than Jacob,Eric is elder than Thomas,Eric is younger than Jacob,Jennifer is between Jacob and Paul,Linda is between Eric and Jacob,"young, old","['dotted circles', 'diagonal stripes', 'vertical lines', 'blank', 'horizontal stripes', 'horizontal lines']"
"Eric,Jacob,Thomas,Paul,Linda,Jennifer",5,Linda is at position 5,Thomas is younger than Paul,Jennifer is elder than Linda,Thomas is elder than Jacob,Jacob is elder than Eric,"young, old","['horizontal lines', 'dotted circles', 'horizontal stripes', 'diagonal stripes', 'vertical lines', 'blank']"
"Paul,Jennifer,Jacob,Thomas,Eric,Linda",5,Linda is elder than Eric,Thomas is between Eric and Jennifer,Jennifer is elder than Paul,Thomas is elder than Jacob,Jennifer is younger than Jacob,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"Linda,Paul,Jennifer,Thomas,Jacob,Eric",5,Jennifer is between Paul and Eric,Jacob is between Eric and Thomas,Linda is younger than Paul,Thomas is between Jennifer and Eric,There are 0 people elder than Eric,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"dog,horse,rabbit,bird,cat,goat",5,There are 2 animals ahead of rabbit,dog's cage is ahead of at least 5 animals',cat is not next to horse,bird's cage is exactly 2 spots ahead of goat's,horse is ahead of bird,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"cat,horse,bird,dog,goat,rabbit",5,horse is behind cat,horse's cage is exactly 4 spots ahead of rabbit's,There are 4 animals behind horse,dog is not next to rabbit,bird is ahead of dog,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"horse,goat,dog,bird,rabbit,cat",5,rabbit is ahead of cat,goat's cage is exactly 3 spots ahead of rabbit's,bird is at position 4,bird is ahead of cat,dog is behind goat,"front, end","['dotted circles', 'horizontal lines', 'vertical lines', 'blank', 'diagonal stripes', 'horizontal stripes']"
"dog,horse,goat,cat,bird,rabbit",5,goat is not next to rabbit,goat's cage is ahead of at least 3 animals',There are 4 animals ahead of bird,dog's cage is exactly 4 spots ahead of bird's,horse's cage is exactly 4 spots ahead of rabbit's,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"goat,horse,bird,dog,cat,rabbit",5,horse is not in the last cage,bird's cage is exactly 3 spots ahead of rabbit's,rabbit is behind dog,horse's cage is exactly 2 spots ahead of dog's,There are 5 animals behind goat,"front, end","['vertical lines', 'horizontal stripes', 'dotted circles', 'blank', 'horizontal lines', 'diagonal stripes']"
"rabbit,goat,cat,bird,dog,horse",5,horse is not next to cat,bird's cage is exactly 2 spots ahead of horse's,rabbit's cage is exactly 3 spots ahead of bird's,goat is not next to bird,rabbit is not next to dog,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"horse,dog,bird,goat,cat,rabbit",5,goat's cage is exactly 2 spots ahead of rabbit's,bird is behind dog,cat is behind bird,horse's cage is exactly 4 spots ahead of cat's,There are 1 animals ahead of dog,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"goat,rabbit,horse,cat,dog,bird",5,horse is ahead of bird,goat's cage is exactly 3 spots ahead of cat's,bird is not next to rabbit,horse's cage is exactly 2 spots ahead of dog's,goat is not next to dog,"front, end","['dotted circles', 'horizontal stripes', 'vertical lines', 'blank', 'diagonal stripes', 'horizontal lines']"
"horse,dog,rabbit,cat,bird,goat",5,goat is not next to rabbit,horse is at position 1,rabbit is behind dog,goat is not next to horse,rabbit's cage is exactly 2 spots ahead of bird's,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"goat,cat,bird,dog,horse,rabbit",5,dog is behind cat,cat's cage is exactly 2 spots ahead of dog's,goat is in the first cage,bird's cage is exactly 3 spots ahead of rabbit's,horse is not next to bird,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'vertical lines', 'horizontal lines']"
"dog,rabbit,horse,goat,bird,cat",5,rabbit's cage is exactly 4 spots ahead of cat's,rabbit is ahead of cat,horse is not next to bird,rabbit is not next to bird,There are 5 animals behind dog,"front, end","['dotted circles', 'vertical lines', 'horizontal stripes', 'diagonal stripes', 'horizontal lines', 'blank']"
"bird,cat,rabbit,horse,dog,goat",5,bird's cage is exactly 4 spots ahead of dog's,rabbit is ahead of horse,There are 2 animals behind horse,rabbit is ahead of goat,rabbit is not next to bird,"front, end","['dotted circles', 'blank', 'horizontal lines', 'diagonal stripes', 'horizontal stripes', 'vertical lines']"
"bird,rabbit,goat,horse,cat,dog",5,There are 3 animals ahead of horse,dog is behind goat,goat is not next to bird,bird's cage is exactly 3 spots ahead of horse's,bird's cage is exactly 4 spots ahead of cat's,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"horse,bird,rabbit,cat,goat,dog",5,horse's cage is exactly 5 spots ahead of dog's,bird's cage is ahead of at least 4 animals',goat is behind rabbit,rabbit's cage is exactly 2 spots ahead of goat's,There are 3 animals behind rabbit,"front, end","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']"
"horse,dog,bird,goat,rabbit,cat",5,dog's cage is ahead of at least 4 animals',horse's cage is exactly 5 spots ahead of cat's,bird is not next to rabbit,rabbit is at position 5,dog is ahead of cat,"front, end","['dotted circles', 'diagonal stripes', 'blank', 'vertical lines', 'horizontal stripes', 'horizontal lines']"
"bird,dog,goat,horse,rabbit,cat",5,dog is behind bird,bird's cage is exactly 3 spots ahead of horse's,goat is not in the last cage,There are 4 animals behind dog,bird's cage is exactly 4 spots ahead of rabbit's,"front, end","['dotted circles', 'blank', 'vertical lines', 'horizontal lines', 'diagonal stripes', 'horizontal stripes']"
"horse,rabbit,cat,bird,dog,goat",5,horse is not next to goat,rabbit's cage is exactly 4 spots ahead of goat's,dog is at position 5,horse is not next to dog,cat's cage is exactly 3 spots ahead of goat's,"front, end","['diagonal stripes', 'horizontal stripes', 'vertical lines', 'blank', 'horizontal lines', 'dotted circles']"
"dog,cat,bird,rabbit,horse,goat",5,dog's cage is exactly 2 spots ahead of bird's,cat's cage is exactly 4 spots ahead of goat's,bird is ahead of horse,There are 4 animals ahead of horse,cat is not next to rabbit,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'vertical lines', 'horizontal lines']"
"cat,bird,dog,rabbit,goat,horse",5,dog is not next to horse,bird's cage is exactly 4 spots ahead of horse's,dog is behind cat,cat's cage is exactly 2 spots ahead of dog's,goat is not next to dog,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"bird,horse,dog,cat,rabbit,goat",5,horse's cage is exactly 3 spots ahead of rabbit's,There are 0 animals ahead of bird,dog's cage is exactly 3 spots ahead of goat's,dog is ahead of cat,bird's cage is exactly 2 spots ahead of dog's,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"orange book,yellow book,white book,black book,blue book,red book",5,blue book is more expensive than black book,orange book is exactly 3 ranks cheaper than black book,blue book is cheaper than red book,black book is exactly 2 ranks cheaper than red book,yellow book is cheaper than at least 4 books,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"white book,yellow book,black book,orange book,red book,blue book",5,white book is at position 1,yellow book is exactly 4 ranks cheaper than blue book,yellow book is cheaper than blue book,orange book is exactly 2 ranks cheaper than blue book,black book is cheaper than at least 3 books,"cheap, expensive","['dotted circles', 'vertical lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'horizontal lines']"
"blue book,yellow book,black book,white book,red book,orange book",5,yellow book is cheaper than black book,There are 3 books cheaper than white book,blue book is exactly 2 ranks cheaper than black book,blue book is cheaper than red book,white book is exactly 2 ranks cheaper than orange book,"cheap, expensive","['horizontal lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']"
"yellow book,blue book,black book,white book,orange book,red book",5,yellow book is exactly 2 ranks cheaper than black book,yellow book is cheaper than orange book,white book is more expensive than black book,orange book is cheaper than red book,orange book is more expensive than white book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"blue book,orange book,white book,red book,black book,yellow book",5,red book is cheaper than yellow book,white book is located midway between blue book and black book,white book is cheaper than red book,white book is exactly 2 ranks cheaper than black book,blue book is cheaper than black book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'vertical lines', 'horizontal stripes']"
"orange book,yellow book,red book,white book,black book,blue book",5,red book is exactly 3 ranks cheaper than blue book,black book is more expensive than orange book,orange book is the cheapest,yellow book is cheaper than at least 4 books,red book is exactly 2 ranks cheaper than black book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"orange book,red book,black book,white book,blue book,yellow book",5,white book is exactly 2 ranks cheaper than yellow book,red book is exactly 3 ranks cheaper than blue book,yellow book is the most expensive,orange book is cheaper than blue book,black book is more expensive than red book,"cheap, expensive","['horizontal stripes', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"yellow book,white book,orange book,red book,black book,blue book",5,white book is exactly 4 ranks cheaper than blue book,There are 1 books more expensive than black book,orange book is cheaper than blue book,yellow book is exactly 2 ranks cheaper than orange book,red book is cheaper than black book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'horizontal stripes', 'blank', 'vertical lines']"
"red book,yellow book,white book,orange book,blue book,black book",5,blue book is located midway between orange book and black book,white book is cheaper than orange book,yellow book is exactly 2 ranks cheaper than orange book,red book is cheaper than white book,yellow book is exactly 4 ranks cheaper than black book,"cheap, expensive","['horizontal stripes', 'horizontal lines', 'dotted circles', 'blank', 'diagonal stripes', 'vertical lines']"
"yellow book,black book,orange book,red book,white book,blue book",5,black book is cheaper than orange book,There are 3 books cheaper than red book,orange book is located midway between yellow book and white book,orange book is exactly 2 ranks cheaper than white book,orange book is cheaper than at least 3 books,"cheap, expensive","['dotted circles', 'horizontal stripes', 'vertical lines', 'blank', 'diagonal stripes', 'horizontal lines']"
"yellow book,white book,blue book,orange book,black book,red book",5,blue book is not the cheapest,white book is cheaper than at least 4 books,blue book is exactly 3 ranks cheaper than red book,orange book is cheaper than black book,yellow book is exactly 3 ranks cheaper than orange book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"yellow book,blue book,orange book,white book,red book,black book",5,red book is more expensive than white book,yellow book is exactly 3 ranks cheaper than white book,white book is cheaper than red book,There are 4 books more expensive than blue book,black book is more expensive than red book,"cheap, expensive","['dotted circles', 'vertical lines', 'horizontal stripes', 'diagonal stripes', 'horizontal lines', 'blank']"
"red book,blue book,orange book,yellow book,black book,white book",5,yellow book is at position 4,red book is exactly 2 ranks cheaper than orange book,blue book is not the cheapest,black book is more expensive than orange book,blue book is exactly 3 ranks cheaper than black book,"cheap, expensive","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']"
"orange book,black book,red book,blue book,yellow book,white book",5,black book is exactly 2 ranks cheaper than blue book,yellow book is more expensive than orange book,black book is cheaper than red book,There are 0 books more expensive than white book,orange book is exactly 4 ranks cheaper than yellow book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"blue book,orange book,white book,black book,red book,yellow book",5,blue book is cheaper than red book,white book is exactly 2 ranks cheaper than red book,There are 3 books cheaper than black book,orange book is exactly 3 ranks cheaper than red book,black book is not the cheapest,"cheap, expensive","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']"
"yellow book,white book,orange book,red book,blue book,black book",5,white book is cheaper than blue book,white book is exactly 4 ranks cheaper than black book,There are 4 books cheaper than blue book,yellow book is exactly 3 ranks cheaper than red book,orange book is located midway between yellow book and blue book,"cheap, expensive","['dotted circles', 'vertical lines', 'horizontal stripes', 'blank', 'horizontal lines', 'diagonal stripes']"
"white book,red book,orange book,blue book,yellow book,black book",5,white book is exactly 3 ranks cheaper than blue book,white book is exactly 4 ranks cheaper than yellow book,white book is cheaper than at least 5 books,yellow book is more expensive than orange book,red book is cheaper than orange book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']"
"white book,blue book,orange book,black book,red book,yellow book",5,orange book is located midway between white book and red book,black book is more expensive than white book,orange book is exactly 2 ranks cheaper than red book,There are 5 books cheaper than yellow book,blue book is cheaper than orange book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'vertical lines', 'diagonal stripes']"
"orange book,yellow book,black book,blue book,red book,white book",5,orange book is exactly 3 ranks cheaper than blue book,blue book is cheaper than red book,There are 2 books cheaper than black book,red book is not the most expensive,red book is more expensive than yellow book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'vertical lines', 'horizontal lines']"
"blue book,yellow book,black book,red book,white book,orange book",5,orange book is more expensive than red book,yellow book is exactly 2 ranks cheaper than red book,blue book is exactly 4 ranks cheaper than white book,blue book is cheaper than at least 4 books,yellow book is not the cheapest,"cheap, expensive","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes', 'vertical lines']"
"May,David,Tom,Mia,Brown,Bob",5,David is taller than May,Brown is not the tallest,Tom is shorter than Mia,Tom is taller than David,Mia is shorter than Brown,"short, tall","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']"
"Brown,May,Bob,David,Mia,Tom",5,David is between Bob and Mia,There are 2 people shorter than Bob,Mia is not the tallest,May is shorter than Bob,May is taller than Brown,"short, tall","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"Brown,Tom,Mia,David,May,Bob",5,Bob is taller than May,There are 4 people taller than Tom,David is taller than Mia,David is between Tom and May,Mia is taller than Brown,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']"
"Tom,Bob,Brown,David,May,Mia",5,David is shorter than May,Tom is shorter than Bob,Brown is taller than Bob,There are 2 people shorter than Brown,May is not the tallest,"short, tall","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"Tom,May,Bob,Mia,Brown,David",5,May is shorter than Bob,Mia is shorter than David,May is taller than Tom,Bob is shorter than Mia,There are 4 people shorter than Brown,"short, tall","['horizontal lines', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal stripes', 'vertical lines']"
"May,David,Mia,Tom,Bob,Brown",5,Tom is at position 4,David is shorter than Mia,Bob is shorter than Brown,David is taller than May,Tom is taller than Mia,"short, tall","['dotted circles', 'horizontal lines', 'blank', 'vertical lines', 'horizontal stripes', 'diagonal stripes']"
"Brown,Mia,May,David,Bob,Tom",5,Bob is taller than David,Brown is shorter than Mia,Bob is not the tallest,There are 2 people shorter than May,May is taller than Mia,"short, tall","['diagonal stripes', 'dotted circles', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"Mia,Tom,David,Bob,Brown,May",5,Bob is at position 4,Tom is between Mia and Bob,Brown is shorter than May,David is taller than Tom,Brown is taller than Bob,"short, tall","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"Mia,May,Brown,David,Bob,Tom",5,There are 3 people taller than Brown,Brown is taller than May,David is between Brown and Bob,Bob is shorter than Tom,May is taller than Mia,"short, tall","['diagonal stripes', 'dotted circles', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"Bob,David,Tom,Brown,May,Mia",5,May is at position 5,David is taller than Bob,Brown is between Tom and May,May is taller than Brown,Tom is taller than David,"short, tall","['dotted circles', 'horizontal lines', 'blank', 'horizontal stripes', 'diagonal stripes', 'vertical lines']"
"Tom,David,Mia,Bob,Brown,May",5,David is shorter than Bob,Bob is shorter than Brown,Mia is at position 3,David is taller than Tom,Brown is shorter than May,"short, tall","['dotted circles', 'blank', 'diagonal stripes', 'horizontal lines', 'horizontal stripes', 'vertical lines']"
"Bob,May,Brown,David,Tom,Mia",5,There are 3 people taller than Brown,May is taller than Bob,David is shorter than Mia,Tom is between Mia and David,David is taller than Brown,"short, tall","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']"
"Tom,Brown,David,Bob,May,Mia",5,Brown is shorter than David,May is taller than Bob,David is between Bob and Brown,May is between Brown and Mia,There are 0 people shorter than Tom,"short, tall","['horizontal lines', 'diagonal stripes', 'vertical lines', 'blank', 'dotted circles', 'horizontal stripes']"
"Bob,David,Brown,May,Mia,Tom",5,Mia is shorter than Tom,There are 4 people taller than David,May is taller than Brown,David is taller than Bob,May is shorter than Mia,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'diagonal stripes', 'blank', 'vertical lines']"
"Mia,Brown,Tom,Bob,May,David",5,Tom is taller than Brown,Bob is taller than Tom,May is between David and Tom,May is taller than Bob,Mia is shorter than Brown,"short, tall","['vertical lines', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes', 'dotted circles']"
"Brown,Mia,Bob,David,May,Tom",5,David is taller than Brown,David is between May and Brown,Mia is between Brown and David,There are 2 people shorter than Bob,Tom is taller than May,"short, tall","['dotted circles', 'diagonal stripes', 'blank', 'vertical lines', 'horizontal stripes', 'horizontal lines']"
"Tom,Mia,Brown,May,Bob,David",5,Brown is taller than Mia,Bob is taller than May,Brown is shorter than May,Tom is at position 1,David is taller than Bob,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']"
